Report Date/Time: 11/03/2014 02:52 PM,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,,Page Number 1,
,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,
,,,,,,,"2014 General Election - November 4, 2014",,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,,ACTIVE,,,,,,,,
,,Precincts,Date/Period,,,,,,,,,Other,TOTAL,
,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,,
,,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,
,,,,,,,,,"2014 General Election - November 4, 2014",,,,,
,,,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,,,,ACTIVE,,,,,,
,Legislative,,,,Precincts,,,,,,,,Other,TOTAL
,,,,,,Americans Elect,,,,Democratic,Libertarian,Republican,,
,,Legislative District 13,,,,,,,,,,,,
,,,,,,11,,,,"14,855",510,"26,677",,
,,,Maricopa,,29,,,,,,,,"24,676","66,729"
,,,,,,0,,,,0,0,0,,
,,,Yavapai,,0,,,,,,,,0,0
,,,,,,4,,,,"8,598",259,"14,303",,
,,,Yuma,,21,,,,,,,,"13,281","36,445"
,,,,,50,,,,,,,,"37,957","103,174"
,,,,TOTALS,,15,,,,"23,453",769,"40,980",,
,,Legislative District 14,,,,,,,,,,,,
,,,,,,11,,,,"18,784",431,"25,463",,
,,,Cochise,,49,,,,,,,,"23,923","68,612"
,,,,,,2,,,,"4,282",55,"7,255",,
,,,Graham,,20,,,,,,,,"3,643","15,237"
,,,,,,0,,,,"2,115",22,"1,094",,
,,,Greenlee,,8,,,,,,,,"1,151","4,382"
,,,,,,4,,,,"6,187",233,"11,456",,
,,,Pima,,17,,,,,,,,"9,147","27,027"
,,,,,94,,,,,,,,"37,864","115,258"
,,,,TOTALS,,17,,,,"31,368",741,"45,268",,
,,Legislative District 15,,,,,,,,,,,,
,,,,,,23,,,,"27,367","1,112","53,625",,
,,,Maricopa,,42,,,,,,,,"44,756","126,883"
,,,,,42,,,,,,,,"44,756","126,883"
,,,,TOTALS,,23,,,,"27,367","1,112","53,625",,
,,Legislative District 16,,,,,,,,,,,,
,,,,,,18,,,,"14,807",546,"28,134",,
,,,Maricopa,,19,,,,,,,,"27,665","71,170"
,,,,,,8,,,,"8,520",274,"14,957",,
,,,Pinal,,21,,,,,,,,"16,702","40,461"
,,,,,40,,,,,,,,"44,367","111,631"
,,,,TOTALS,,26,,,,"23,327",820,"43,091",,
,,Legislative District 17,,,,,,,,,,,,
,,,,,,28,,,,"29,661","1,002","46,874",,
,,,Maricopa,,39,,,,,,,,"46,438","124,003"
,,,,,39,,,,,,,,"46,438","124,003"
,,,,TOTALS,,28,,,,"29,661","1,002","46,874",,
,,Legislative District 18,,,,,,,,,,,,
,,,,,,15,,,,"37,426","1,288","48,127",,
,,,Maricopa,,42,,,,,,,,"47,721","134,577"
,,,,,42,,,,,,,,"47,721","134,577"
,,,,TOTALS,,15,,,,"37,426","1,288","48,127",,
,,Legislative District 19,,,,,,,,,,,,
,,,,,,7,,,,"29,087",715,"13,212",,
,,,Maricopa,,28,,,,,,,,"31,370","74,391"
,,,,,28,,,,,,,,"31,370","74,391"
,,,,TOTALS,,7,,,,"29,087",715,"13,212",,
,,Legislative District 20,,,,,,,,,,,,
,,,,,,20,,,,"30,071","1,102","40,865",,
,,,Maricopa,,47,,,,,,,,"40,367","112,425"
,,,,,47,,,,,,,,"40,367","112,425"
,,,,TOTALS,,20,,,,"30,071","1,102","40,865",,
,,Legislative District 21,,,,,,,,,,,,
,,,,,,20,,,,"30,641",779,"41,789",,
,,,Maricopa,,42,,,,,,,,"41,340","114,569"
,,,,,42,,,,,,,,"41,340","114,569"
,,,,TOTALS,,20,,,,"30,641",779,"41,789",,
,,Legislative District 22,,,,,,,,,,,,
,,,,,,12,,,,"27,935",775,"58,739",,
,,,Maricopa,,48,,,,,,,,"45,790","133,251"
,,,,,48,,,,,,,,"45,790","133,251"
,,,,TOTALS,,12,,,,"27,935",775,"58,739",,
,,Legislative District 23,,,,,,,,,,,,
,,,,,,13,,,,"29,690","1,013","65,543",,
,,,Maricopa,,57,,,,,,,,"52,029","148,288"
,,,,,57,,,,,,,,"52,029","148,288"
,,,,TOTALS,,13,,,,"29,690","1,013","65,543",,
,,Legislative District 24,,,,,,,,,,,,
,,,,,,22,,,,"33,859","1,083","20,877",,
,,,Maricopa,,40,,,,,,,,"33,838","89,679"
,,,,,40,,,,,,,,"33,838","89,679"
,,,,TOTALS,,22,,,,"33,859","1,083","20,877",,
,,Legislative District 25,,,,,,,,,,,,
,,,,,,21,,,,"24,504","1,039","55,033",,
,,,Maricopa,,37,,,,,,,,"40,948","121,545"
,,,,,37,,,,,,,,"40,948","121,545"
,,,,TOTALS,,21,,,,"24,504","1,039","55,033",,
,,Legislative District 26,,,,,,,,,,,,
,,,,,,19,,,,"26,342","1,187","20,853",,
,,,Maricopa,,34,,,,,,,,"36,473","84,874"
,,,,,34,,,,,,,,"36,473","84,874"
,,,,TOTALS,,19,,,,"26,342","1,187","20,853",,
,,Legislative District 27,,,,,,,,,,,,
,,,,,,11,,,,"36,279",664,"10,701",,
,,,Maricopa,,35,,,,,,,,"31,478","79,133"
,,,,,35,,,,,,,,"31,478","79,133"
,,,,TOTALS,,11,,,,"36,279",664,"10,701",,
,,Legislative District 28,,,,,,,,,,,,
,,,,,,19,,,,"33,837","1,180","48,204",,
,,,Maricopa,,57,,,,,,,,"39,896","123,136"
,,,,,57,,,,,,,,"39,896","123,136"
,,,,TOTALS,,19,,,,"33,837","1,180","48,204",,
Report Date/Time: 11/03/2014 02:52 PM,,,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,Page Number 5
,,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,
,,,,,,,,,"2014 General Election - November 4, 2014",,,,,
,,,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
